Id,Card,Card type,Monster type,Attribute,Type,Level,ATK,DEF 
5875,Terrorking Salmon,Monster,Normal,WATER,Fish,5,2400,1000
5876,Blazing Inpachi,Monster,Normal,FIRE,Pyro,4,1850,0
5877,Burning Algae,Monster,Effect,FIRE,Pyro,3,500,1500
5878,The Thing in the Crater,Monster,Effect,FIRE,Pyro,4,1000,1200
5879,Molten Zombie,Monster,Effect,FIRE,Pyro,4,1600,400
5880,Dark Magician of Chaos,Monster,Effect,DARK,Spellcaster,8,2800,2600
5881,Manticore of Darkness,Monster,Effect,FIRE,Beast-Warrior,6,2300,1000
5882,Stealth Bird,Monster,Effect,DARK,Winged Beast,3,700,1700
5883,Sacred Crane,Monster,Effect,LIGHT,Winged Beast,4,1600,400
5884,Enraged Battle Ox,Monster,Effect,EARTH,Beast-Warrior,4,1700,1000
5885,Don Turtle,Monster,Effect,WATER,Reptile,3,1100,1200
5886,Balloon Lizard,Monster,Effect,EARTH,Reptile,4,500,1900
5887,Dark Driceratops,Monster,Effect,EARTH,Dinosaur,6,2400,1500
5888,Hyper Hammerhead,Monster,Effect,EARTH,Dinosaur,4,1500,1200
5889,Black Tyranno,Monster,Effect,EARTH,Dinosaur,7,2600,1800
5890,Anti-Aircraft Flower,Monster,Effect,EARTH,Plant,3,0,1600
5891,Prickle Fairy,Monster,Effect,EARTH,Plant,4,300,2000
5892,Insect Princess,Monster,Effect,WIND,Insect,6,1900,1200
5893,Amphibious Bugroth MK-3,Monster,Effect,WATER,Machine,4,1500,1300
5894,Torpedo Fish,Monster,Effect,WATER,Fish,3,1000,1000
5895,Levia-Dragon - Daedalus,Monster,Effect,WATER,Sea Serpent,7,2600,1500
5896,Orca Mega-Fortress of Darkness,Monster,Effect,WATER,Sea Serpent,5,2100,1200
5897,Cannonball Spear Shellfish,Monster,Effect,WATER,Aqua,2,1000,1000
5898,Mataza the Zapper,Monster,Effect,DARK,Warrior,3,1300,800
5899,Guardian Angel Joan,Monster,Effect,LIGHT,Fairy,7,2800,2000
5900,Manju of the Ten Thousand Hands,Monster,Effect,LIGHT,Fairy,4,1400,1000
5901,Getsu Fuhma,Monster,Effect,DARK,Warrior,4,1700,1200
5902,Ryu Kokki,Monster,Effect,DARK,Zombie,6,2400,2000
5922,Invader of Darkness,Monster,Effect,DARK,Fiend,8,2900,2500
5923,Twinheaded Beast,Monster,Effect,FIRE,Beast,6,1700,1900
5925,Ulevo,Monster,Effect,EARTH,Winged Beast,10,3000,2500
5927,Abyss Soldier,Monster,Effect,WATER,Aqua,4,1800,1300
5928,Bitelon,Monster,Effect,WATER,Reptile,6,2400,1000
5929,Meteo the Matchless,Monster,Effect,DARK,Beast-Warrior,8,2400,2000
5930,Inferno Hammer,Monster,Effect,DARK,Fiend,6,2400,0
5931,Emes the Infinity,Monster,Effect,LIGHT,Machine,7,2500,2000
5932,D.D. Assailant,Monster,Effect,EARTH,Warrior,4,1700,1600
5933,Teva,Monster,Effect,LIGHT,Warrior,5,2000,1500
5934,Gora Turtle of Illusion,Monster,Effect,WATER,Aqua,4,1200,1400
5936,Lamb Token,Monster,Token,EARTH,Beast,1,0,0
5937,Lamb Token,Monster,Token,EARTH,Beast,1,0,0
5943,Maximum Six,Monster,Effect,EARTH,Warrior,6,1900,1600
5946,Gogiga Gagagigo,Monster,Normal,WATER,Reptile,8,2950,2800
5947,Warrior of Zera,Monster,Normal,EARTH,Warrior,4,1600,1600
5948,Sealmaster Meisei,Monster,Normal,DARK,Spellcaster,3,1100,900
5949,Mystical Shine Ball,Monster,Normal,LIGHT,Fairy,2,500,500
5950,Metal Armored Bug,Monster,Normal,EARTH,Insect,8,2800,1500
5951,The Agent of Judgment - Saturn,Monster,Effect,LIGHT,Fairy,6,2400,0
5952,The Agent of Wisdom - Mercury,Monster,Effect,LIGHT,Fairy,4,0,1700
5953,The Agent of Creation - Venus,Monster,Effect,LIGHT,Fairy,3,1600,0
5954,The Agent of Force - Mars,Monster,Effect,LIGHT,Fairy,3,0,0
5955,The Unhappy Girl,Monster,Effect,LIGHT,Spellcaster,2,400,300
5956,Soul-Absorbing Bone Tower,Monster,Effect,DARK,Zombie,3,400,1500
5957,The Kick Man,Monster,Effect,DARK,Zombie,3,1300,300
5958,Vampire Lady,Monster,Effect,DARK,Zombie,4,1550,1550
5959,Rocket Jumper,Monster,Effect,EARTH,Rock,3,1000,800
5960,Avatar of The Pot,Monster,Effect,EARTH,Rock,3,1200,1300
5961,Legendary Jujitsu Master,Monster,Effect,EARTH,Rock,3,1300,1800
5962,KA-2 Des Scissors,Monster,Effect,DARK,Machine,4,1000,1000
5963,Needle Burrower,Monster,Effect,DARK,Machine,5,1700,1700
5964,Blowback Dragon,Monster,Effect,DARK,Machine,6,2300,1200
5965,Zaborg the Thunder Monarch,Monster,Effect,LIGHT,Thunder,5,2400,1000
5966,Atomic Firefly,Monster,Effect,LIGHT,Insect,1,100,200
5967,Mermaid Knight,Monster,Effect,WATER,Aqua,4,1500,700
5968,Piranha Army,Monster,Effect,WATER,Fish,2,800,200
5969,Two Thousand Needles,Monster,Effect,EARTH,Beast,5,2000,1800
5970,Disc Fighter,Monster,Effect,EARTH,Warrior,4,1000,1000
5971,Arcane Archer of the Forest,Monster,Effect,EARTH,Warrior,3,900,1400
5972,Lady Ninja Yae,Monster,Effect,WIND,Warrior,3,1100,200
5973,Goblin King,Monster,Effect,DARK,Fiend,1,0,0
5974,Solar Flare Dragon,Monster,Effect,FIRE,Pyro,4,1500,1000
5975,White Magician Pikeru,Monster,Effect,LIGHT,Spellcaster,2,1200,0
5976,Archlord Zerato,Monster,Effect,LIGHT,Fairy,8,2800,2300
5996,Mazera DeVille,Monster,Effect,DARK,Fiend,8,2800,2300
6000,Marshmallon,Monster,Effect,LIGHT,Fairy,3,300,500
6001,Skull Descovery Knight,Monster,Effect,DARK,Fiend,4,1900,1800
6004,Gemini Fiend,Monster,Effect,DARK,Fiend,4,1000,1000
6005,Return Zombie,Monster,Effect,DARK,Zombie,4,1000,1600
6018,Mokey Mokey,Monster,Normal,LIGHT,Fairy,1,300,100
6019,Gigobyte,Monster,Normal,WATER,Reptile,1,350,300
6020,Kozaky,Monster,Normal,DARK,Fiend,1,400,400
6021,Fiend Scorpion,Monster,Normal,EARTH,Insect,2,900,200
6022,Pharaoh's Servant,Monster,Normal,DARK,Zombie,2,900,0
6023,Pharaonic Protector,Monster,Normal,EARTH,Zombie,2,900,0
6024,Spirit of the Pharaoh,Monster,Effect,LIGHT,Zombie,6,2500,2000
6025,Theban Nightmare,Monster,Effect,LIGHT,Fiend,4,1500,500
6026,Aswan Apparition,Monster,Effect,DARK,Fiend,3,500,500
6027,Protector of the Sanctuary,Monster,Effect,EARTH,Fiend,4,1100,1900
6028,Nubian Guard,Monster,Effect,FIRE,Warrior,2,500,500
6029,Legacy Hunter,Monster,Effect,EARTH,Warrior,4,1000,1500
6030,Desertapir,Monster,Effect,EARTH,Beast,3,900,300
6031,Sand Gambler,Monster,Effect,LIGHT,Spellcaster,3,300,1600
6032,3-Hump Lacooda,Monster,Effect,EARTH,Beast,3,500,1500
6033,Ghost Knight of Jackal,Monster,Effect,EARTH,Beast-Warrior,5,1700,1600
6034,Absorbing Kid from the Sky,Monster,Effect,LIGHT,Fairy,4,1300,1000
6035,Elephant Statue of Blessing,Monster,Effect,EARTH,Rock,3,1500,0
6036,Elephant Statue of Disaster,Monster,Effect,EARTH,Rock,3,1500,0
6037,Spirit Caller,Monster,Effect,LIGHT,Spellcaster,3,1000,1000
6038,Emissary of the Afterlife,Monster,Effect,DARK,Fiend,4,1600,600
6039,Grave Protector,Monster,Effect,DARK,Fiend,4,0,2000
6040,Double Coston,Monster,Effect,DARK,Zombie,4,1700,1650
6041,Regenerating Mummy,Monster,Effect,DARK,Zombie,4,1800,1500
6042,Night Assailant,Monster,Effect,DARK,Fiend,3,200,500
6043,Man-Thro' Tro',Monster,Effect,EARTH,Beast-Warrior,4,1000,1000
6044,King of the Swamp,Monster,Effect,WATER,Aqua,3,500,1100
6045,Emissary of the Oasis,Monster,Effect,LIGHT,Spellcaster,3,600,400
6073,The End of Anubis,Monster,Effect,DARK,Fiend,6,2500,0
6076,Crush D. Gandra,Monster,Effect,DARK,Dragon,8,0,0
6082,Blue-Eyes Shining Dragon,Monster,Effect,LIGHT,Dragon,10,3000,2500
6083,Familiar Knight,Monster,Effect,DARK,Warrior,3,1200,1400
6084,Rare Metal Dragon,Monster,Effect,DARK,Dragon,4,2400,1200
6085,Peten the Dark Clown,Monster,Effect,DARK,Spellcaster,3,500,1200
6086,Sorcerer of Dark Magic,Monster,Effect,DARK,Spellcaster,9,3200,2800
6087,Andro Sphinx,Monster,Effect,LIGHT,Beast,10,3000,2500
6088,Sphinx Teleia,Monster,Effect,LIGHT,Beast,10,2500,3000
6089,Theinen the Great Sphinx,Monster,Effect,LIGHT,Beast,10,3500,3000
6092,Watapon,Monster,Effect,LIGHT,Fairy,1,200,300
6093,Charcoal Inpachi,Monster,Normal,FIRE,Pyro,1,100,2100
6094,Neo Aqua Madoor,Monster,Normal,WATER,Spellcaster,6,1200,3000
6095,Skull Dog Marron,Monster,Normal,EARTH,Beast,4,1350,2000
6096,Goblin Calligrapher,Monster,Normal,DARK,Fiend,1,400,400
6097,Ultimate Insect LV1,Monster,Effect,WIND,Insect,1,0,0
6098,Horus the Black Flame Dragon LV4,Monster,Effect,FIRE,Dragon,4,1600,1000
6099,Horus the Black Flame Dragon LV6,Monster,Effect,FIRE,Dragon,6,2300,1600
6100,Horus the Black Flame Dragon LV8,Monster,Effect,FIRE,Dragon,8,3000,1800
6101,Dark Mimic LV1,Monster,Effect,DARK,Fiend,1,100,1000
6102,Dark Mimic LV3,Monster,Effect,DARK,Fiend,3,1000,1000
6103,Mystic Swordsman LV2,Monster,Effect,EARTH,Warrior,2,900,0
6104,Mystic Swordsman LV4,Monster,Effect,EARTH,Warrior,4,1900,1600
6105,Armed Dragon LV3,Monster,Effect,WIND,Dragon,3,1200,900
6106,Armed Dragon LV5,Monster,Effect,WIND,Dragon,5,2400,1700
6107,Armed Dragon LV7,Monster,Effect,WIND,Dragon,7,2800,1000
6108,Horus' Servant,Monster,Effect,FIRE,Beast-Warrior,1,100,100
6109,Red-Eyes B. Chick,Monster,Effect,DARK,Dragon,1,800,500
6110,Malice Doll of Demise,Monster,Effect,DARK,Fiend,4,1600,1700
6111,Ninja Grandmaster Sasuke,Monster,Effect,LIGHT,Warrior,4,1800,1000
6112,Rafflesia Seduction,Monster,Effect,EARTH,Plant,2,300,900
6113,Ultimate Baseball Kid,Monster,Effect,FIRE,Warrior,3,500,1000
6114,Mobius the Frost Monarch,Monster,Effect,WATER,Aqua,6,2400,1000
6115,Element Dragon,Monster,Effect,LIGHT,Dragon,4,1500,1200
6116,Element Soldier,Monster,Effect,DARK,Fiend,4,1500,1200
6117,Howling Insect,Monster,Effect,EARTH,Insect,3,1200,1300
6118,Masked Dragon,Monster,Effect,FIRE,Dragon,3,1400,1100
6119,Mind on Air,Monster,Effect,DARK,Spellcaster,6,1000,1600
6120,Unshaven Angler,Monster,Effect,WATER,Fish,4,1500,1600
6121,The Trojan Horse,Monster,Effect,EARTH,Beast,4,1600,1200
6122,Nobleman-Eater Bug,Monster,Effect,EARTH,Insect,5,900,1200
6123,Enraged Muka Muka,Monster,Effect,EARTH,Rock,5,1200,600
6124,Hade-Hane,Monster,Effect,EARTH,Beast,5,900,1000
6125,Penumbral Soldier Lady,Monster,Effect,DARK,Warrior,6,2100,1400
6126,Ojama King,Monster,Fusion,LIGHT,Beast,6,0,3000
6127,Master of Oz,Monster,Fusion,EARTH,Beast,9,4200,3700
6128,Sanwitch,Monster,Fusion,DARK,Spellcaster,6,2100,1800
6150,The Tricky,Monster,Effect,WIND,Spellcaster,5,2000,1200
6151,Green Gadget,Monster,Effect,EARTH,Machine,4,1400,600
6155,Red Gadget,Monster,Effect,EARTH,Machine,4,1300,1500
6156,Yellow Gadget,Monster,Effect,EARTH,Machine,4,1200,1200
6160,Blockman,Monster,Effect,EARTH,Rock,4,1000,1500
6162,Silent Swordsman LV3,Monster,Effect,LIGHT,Warrior,3,1000,1000
6163,Block Token,Monster,Token,EARTH,Rock,4,1000,1500
6164,Silent Swordsman LV5,Monster,Effect,LIGHT,Warrior,5,2300,1000
6165,Tricky Token,Monster,Token,WIND,Spellcaster,5,2000,1200
6166,Silent Swordsman LV7,Monster,Effect,LIGHT,Warrior,7,2800,1000
6167,Silent Magician LV4,Monster,Effect,LIGHT,Spellcaster,4,1000,1000
6170,Silent Magician LV8,Monster,Effect,LIGHT,Spellcaster,8,3500,1000
6172,Woodborg Inpachi,Monster,Normal,FIRE,Machine,5,500,2500
6173,Mighty Guard,Monster,Normal,EARTH,Machine,4,500,1200
6174,Bokoichi the Freightening Car,Monster,Normal,DARK,Machine,2,500,500
6175,Harpie Girl,Monster,Normal,WIND,Winged Beast,2,500,500
6176,The Creator,Monster,Effect,LIGHT,Thunder,8,2300,3000
6177,The Creator Incarnate,Monster,Effect,LIGHT,Warrior,4,1600,1500
6178,Ultimate Insect LV3,Monster,Effect,WIND,Insect,3,1400,900
6179,Mystic Swordsman LV6,Monster,Effect,EARTH,Warrior,6,2300,1700
6181,Heavy Mech Support Platform,Monster,Effect,DARK,Machine,3,500,500
6182,Element Magician,Monster,Effect,LIGHT,Spellcaster,4,1500,1200
6183,Element Saurus,Monster,Effect,DARK,Dinosaur,4,1500,1200
6184,Roc from the Valley of Haze,Monster,Effect,WIND,Winged Beast,6,2400,1400
6185,Sasuke Samurai #4,Monster,Effect,WIND,Warrior,4,1200,1200
6186,Harpie Lady 1,Monster,Effect,WIND,Winged Beast,4,1300,1400
6187,Harpie Lady 2,Monster,Effect,WIND,Winged Beast,4,1300,1400
6188,Harpie Lady 3,Monster,Effect,WIND,Winged Beast,4,1300,1400
6189,Raging Flame Sprite,Monster,Effect,FIRE,Pyro,3,100,200
6190,Thestalos the Firestorm Monarch,Monster,Effect,FIRE,Pyro,6,2400,1000
6191,Eagle Eye,Monster,Effect,WIND,Winged Beast,3,1300,1200
6192,Tactical Espionage Expert,Monster,Effect,EARTH,Warrior,3,1300,1200
6193,Invasion of Flames,Monster,Effect,FIRE,Pyro,3,1300,1200
6194,Creeping Doom Manta,Monster,Effect,WATER,Fish,3,1300,1200
6195,Pitch-Black Warwolf,Monster,Effect,DARK,Beast-Warrior,4,1600,600
6196,Mirage Dragon,Monster,Effect,LIGHT,Dragon,4,1600,600
6197,Gaia Soul the Combustible Collective,Monster,Effect,FIRE,Pyro,4,2000,0
6198,Fox Fire,Monster,Effect,FIRE,Pyro,2,300,200
6199,Big Core,Monster,Effect,DARK,Machine,6,2300,1100
6200,"Fusilier Dragon, the Dual-Mode Beast",Monster,Effect,DARK,Machine,7,2800,2000
6201,Dekoichi the Battlechanted Locomotive,Monster,Effect,DARK,Machine,4,1400,1000
6202,A-Team: Trap Disposal Unit,Monster,Effect,FIRE,Machine,2,300,400
6203,Homunculus the Alchemic Being,Monster,Effect,LIGHT,Plant,4,1800,1600
6204,Dark Blade the Dragon Knight,Monster,Fusion,DARK,Warrior,6,2200,1500
6205,Mokey Mokey King,Monster,Fusion,LIGHT,Fairy,6,300,100
6229,Castle Gate,Monster,Effect,EARTH,Rock,6,0,2400
6232,Space Mambo,Monster,Normal,WATER,Fish,4,1700,1000
6233,Divine Dragon Ragnarok,Monster,Normal,LIGHT,Dragon,4,1500,1000
6234,Chu-Ske the Mouse Fighter,Monster,Normal,EARTH,Beast,3,1200,0
6235,Insect Knight,Monster,Normal,EARTH,Insect,4,1900,1500
6236,Sacred Phoenix of Nephthys,Monster,Effect,FIRE,Winged Beast,8,2400,1600
6237,Hand of Nephthys,Monster,Effect,WIND,Spellcaster,2,600,600
6238,Ultimate Insect LV5,Monster,Effect,WIND,Insect,5,2300,900
6239,Granmarg the Rock Monarch,Monster,Effect,EARTH,Rock,6,2400,1000
6240,Element Valkyrie,Monster,Effect,LIGHT,Fairy,4,1500,1200
6241,Element Doom,Monster,Effect,DARK,Fiend,4,1500,1200
6242,Maji-Gire Panda,Monster,Effect,EARTH,Beast,4,1000,800
6243,Catnipped Kitty,Monster,Effect,EARTH,Beast,2,0,500
6244,Behemoth the King of All Animals,Monster,Effect,EARTH,Beast,7,2700,1500
6245,Big-Tusked Mammoth,Monster,Effect,EARTH,Beast,5,2000,1000
6246,Kangaroo Champ,Monster,Effect,EARTH,Beast,4,800,700
6247,Hyena,Monster,Effect,EARTH,Beast,3,1000,300
6248,Blade Rabbit,Monster,Effect,EARTH,Beast,2,400,300
6249,Mecha-Dog Marron,Monster,Effect,LIGHT,Machine,4,1000,1000
6250,Blast Magician,Monster,Effect,FIRE,Spellcaster,4,1400,1700
6251,Gearfried the Swordmaster,Monster,Effect,LIGHT,Warrior,7,2600,2200
6252,Armed Samurai - Ben Kei,Monster,Effect,DARK,Warrior,4,500,800
6253,Shadowslayer,Monster,Effect,DARK,Fiend,4,1400,200
6254,Golem Sentry,Monster,Effect,EARTH,Rock,4,800,1800
6255,Abare Ushioni,Monster,Effect,EARTH,Beast-Warrior,4,1200,1200
6256,The Light - Hex-Sealed Fusion,Monster,Effect,LIGHT,Rock,3,1000,1600
6257,The Dark - Hex-Sealed Fusion,Monster,Effect,DARK,Rock,3,1000,1600
6258,The Earth - Hex-Sealed Fusion,Monster,Effect,EARTH,Rock,3,1000,1600
6259,Whirlwind Prodigy,Monster,Effect,WIND,Fairy,4,1500,1600
6260,Flame Ruler,Monster,Effect,FIRE,Pyro,4,1500,1600
6261,Firebird,Monster,Effect,FIRE,Winged Beast,4,1000,800
6262,Rescue Cat,Monster,Effect,EARTH,Beast,4,300,100
6263,Brain Jacker,Monster,Effect,DARK,Fiend,2,200,900
6264,Gatling Dragon,Monster,Fusion,DARK,Machine,8,2600,1200
6265,King Dragun,Monster,Fusion,DARK,Dragon,7,2400,1100
6287,Curse of Vampire,Monster,Effect,DARK,Zombie,6,2000,800
6289,Blood Sucker,Monster,Effect,DARK,Zombie,4,1300,1500
6292,Red-Eyes Darkness Dragon,Monster,Effect,DARK,Dragon,9,2400,2000
6293,Vampire Genesis,Monster,Effect,DARK,Zombie,8,3000,2100
6298,Kaibaman,Monster,Effect,LIGHT,Warrior,3,200,700
6302,Machiners Soldier,Monster,Effect,EARTH,Machine,4,1600,1500
6303,Machiners Defender,Monster,Effect,EARTH,Machine,4,1200,1800
6304,Machiners Sniper,Monster,Effect,EARTH,Machine,4,1800,800
6307,Commander Covington,Monster,Effect,EARTH,Machine,4,1000,600
6308,Machiners Force,Monster,Effect,EARTH,Machine,10,4600,4100
6310,Elemental Hero Avian,Monster,Normal,WIND,Warrior,3,1000,1000
6311,Elemental Hero Burstinatrix,Monster,Normal,FIRE,Warrior,3,1200,800
6312,Elemental Hero Clayman,Monster,Normal,EARTH,Warrior,4,800,2000
6313,Elemental Hero Sparkman,Monster,Normal,LIGHT,Warrior,4,1600,1400
6314,Winged Kuriboh,Monster,Effect,LIGHT,Fairy,1,300,200
6315,Ancient Gear Golem,Monster,Effect,EARTH,Machine,8,3000,3000
6316,Ancient Gear Beast,Monster,Effect,EARTH,Machine,6,2000,2000
6317,Ancient Gear Soldier,Monster,Effect,EARTH,Machine,4,1300,1300
6318,Millennium Scorpion,Monster,Effect,EARTH,Insect,5,2000,1800
6319,Ultimate Insect LV7,Monster,Effect,WIND,Insect,7,2600,1200
6320,Lost Guardian,Monster,Effect,EARTH,Rock,4,100,?
6321,Hieracosphinx,Monster,Effect,EARTH,Rock,6,2400,1200
6322,Criosphinx,Monster,Effect,EARTH,Rock,6,1200,2400
6323,Moai Interceptor Cannons,Monster,Effect,EARTH,Rock,4,1100,2000
6324,Megarock Dragon,Monster,Effect,EARTH,Rock,7,?,?
6325,Dummy Golem,Monster,Effect,EARTH,Rock,2,800,800
6326,Grave Ohja,Monster,Effect,EARTH,Rock,4,1600,1500
6327,Mine Golem,Monster,Effect,EARTH,Rock,3,1000,1900
6328,Monk Fighter,Monster,Effect,EARTH,Rock,3,1300,1000
6329,Master Monk,Monster,Effect,EARTH,Rock,5,1900,1000
6330,Guardian Statue,Monster,Effect,EARTH,Rock,4,800,1400
6331,Medusa Worm,Monster,Effect,EARTH,Rock,2,500,600
6332,D.D. Survivor,Monster,Effect,DARK,Warrior,4,1800,200
6333,Mid Shield Gardna,Monster,Effect,EARTH,Warrior,4,100,1800
6334,White Ninja,Monster,Effect,LIGHT,Warrior,4,1500,800
6335,Aussa the Earth Charmer,Monster,Effect,EARTH,Spellcaster,3,500,1500
6336,Eria the Water Charmer,Monster,Effect,WATER,Spellcaster,3,500,1500
6337,Hiita the Fire Charmer,Monster,Effect,FIRE,Spellcaster,3,500,1500
6338,Wynn the Wind Charmer,Monster,Effect,WIND,Spellcaster,3,500,1500
6339,Batteryman AA,Monster,Effect,LIGHT,Thunder,3,0,0
6340,Des Wombat,Monster,Effect,EARTH,Beast,3,1600,300
6341,King of the Skull Servants,Monster,Effect,DARK,Zombie,1,?,0
6342,Reshef the Dark Being,Monster,Ritual,LIGHT,Fiend,8,2500,1500
6343,Elemental Mistress Doriado,Monster,Ritual,LIGHT,Spellcaster,3,1200,1400
6344,Elemental Hero Flame Wingman,Monster,Fusion,WIND,Warrior,6,2100,1200
6345,Elemental Hero Thunder Giant,Monster,Fusion,LIGHT,Warrior,6,2400,1500
6368,Infernal Flame Emperor,Monster,Effect,FIRE,Pyro,9,2700,1600
6374,Holy Knight Ishzark,Monster,Effect,LIGHT,Warrior,6,2300,1800
6376,Ocean Dragon Lord - Neo-Daedalus,Monster,Effect,WATER,Sea Serpent,8,2900,1600
6380,Forest Guard Green Baboon,Monster,Effect,EARTH,Beast,7,2600,1800
6383,Cycroid,Monster,Normal,EARTH,Machine,3,800,1000
6384,Patroid,Monster,Effect,EARTH,Machine,4,1200,1200
6385,Gyroid,Monster,Effect,WIND,Machine,3,1000,1000
6386,Steamroid,Monster,Effect,EARTH,Machine,4,1800,1800
6387,Drillroid,Monster,Effect,EARTH,Machine,4,1600,1600
6388,UFOroid,Monster,Effect,LIGHT,Machine,6,1200,1200
6389,Jetroid,Monster,Effect,WIND,Machine,4,1200,1800
6390,Cyber Dragon,Monster,Effect,LIGHT,Machine,5,2100,1600
6391,Wroughtweiler,Monster,Effect,EARTH,Machine,3,800,1200
6392,Dark Catapulter,Monster,Effect,EARTH,Machine,4,1000,1500
6393,Elemental Hero Bubbleman,Monster,Effect,WATER,Warrior,4,800,1200
6394,Steam Gyroid,Monster,Fusion,EARTH,Machine,6,2200,1600
6395,UFOroid Fighter,Monster,Fusion,LIGHT,Machine,10,?,?
6396,Cyber Twin Dragon,Monster,Fusion,LIGHT,Machine,8,2800,2100
6397,Cyber End Dragon,Monster,Fusion,LIGHT,Machine,10,4000,2800
6400,Summon Priest,Monster,Effect,DARK,Spellcaster,4,800,1600
6405,Dark Dreadroute,Monster,Effect,DARK,Fiend,10,4000,4000
6406,Winged Kuriboh LV10,Monster,Effect,LIGHT,Fairy,10,300,200
6410,Dark Ruler Vandalgyon,Monster,Effect,DARK,Dragon,8,2800,2500
6411,Soitsu,Monster,Normal,WIND,Fairy,3,0,0
6413,Jerry Beans Man,Monster,Normal,EARTH,Plant,3,1750,0
6414,Cybernetic Magician,Monster,Effect,LIGHT,Spellcaster,6,2400,1000
6415,Cybernetic Cyclopean,Monster,Effect,EARTH,Beast-Warrior,4,1400,200
6416,Mechanical Hound,Monster,Effect,EARTH,Machine,7,2800,1500
6417,Cyber Archfiend,Monster,Effect,DARK,Fiend,4,1000,2000
6418,Goblin Elite Attack Force,Monster,Effect,EARTH,Fiend,4,2200,1500
6419,B.E.S. Crystal Core,Monster,Effect,WATER,Machine,5,2100,1000
6420,Giant Kozaky,Monster,Effect,DARK,Fiend,4,2500,2400
6421,Indomitable Fighter Lei Lei,Monster,Effect,EARTH,Beast-Warrior,4,2300,0
6422,Protective Soul Ailin,Monster,Effect,LIGHT,Fairy,1,0,0
6423,Doitsu,Monster,Effect,EARTH,Fairy,4,100,200
6424,Des Frog,Monster,Effect,WATER,Aqua,5,1900,0
6425,T.A.D.P.O.L.E.,Monster,Effect,WATER,Aqua,1,0,0
6426,Poison Draw Frog,Monster,Effect,WATER,Aqua,2,100,100
6427,Tyranno Infinity,Monster,Effect,EARTH,Dinosaur,4,?,0
6428,Batteryman C,Monster,Effect,LIGHT,Thunder,2,0,0
6429,Ebon Magician Curran,Monster,Effect,DARK,Spellcaster,2,1200,0
6430,D.D.M. - Different Dimension Master,Monster,Effect,LIGHT,Spellcaster,5,1700,1500
6454,Alkana Knight Joker,Monster,Fusion,LIGHT,Warrior,9,3800,2500
6456,Gilford the Legend,Monster,Effect,EARTH,Warrior,8,2600,2000
6457,Warrior Lady of the Wasteland,Monster,Effect,EARTH,Warrior,4,1100,1200
6465,Dreadscythe Slayer,Monster,Effect,WIND,Insect,8,2300,1600
6467,Elemental Hero Shining Flare Wingman,Monster,Fusion,LIGHT,Warrior,8,2500,2100
6471,V-Tiger Jet,Monster,Normal,LIGHT,Machine,4,1600,1800
6472,Blade Skater,Monster,Normal,EARTH,Warrior,4,1400,1500
6473,Reborn Zombie,Monster,Effect,DARK,Zombie,4,1000,1600
6474,Chthonian Soldier,Monster,Effect,DARK,Warrior,4,1200,1400
6475,W-Wing Catapult,Monster,Effect,LIGHT,Machine,4,1300,1500
6476,Infernal Incinerator,Monster,Effect,FIRE,Fiend,6,2800,1800
6477,Elemental Hero Bladedge,Monster,Effect,EARTH,Warrior,7,2600,1800
6478,Elemental Hero Wildheart,Monster,Effect,EARTH,Warrior,4,1500,1600
6479,Hydrogeddon,Monster,Effect,WATER,Dinosaur,4,1600,1000
6480,Oxygeddon,Monster,Effect,WIND,Dinosaur,4,1800,800
6481,Water Dragon,Monster,Effect,WATER,Sea Serpent,8,2800,2600
6482,Etoile Cyber,Monster,Effect,EARTH,Warrior,4,1200,1600
6483,VW-Tiger Catapult,Monster,Fusion,LIGHT,Machine,6,2000,2100
6484,VWXYZ-Dragon Catapult Cannon,Monster,Fusion,LIGHT,Machine,8,3000,2800
6485,Cyber Blader,Monster,Fusion,EARTH,Warrior,7,2100,800
6486,Elemental Hero Rampart Blaster,Monster,Fusion,EARTH,Warrior,6,2000,2500
6487,Elemental Hero Tempest,Monster,Fusion,WIND,Warrior,8,2800,2800
6488,Elemental Hero Wildedge,Monster,Fusion,EARTH,Warrior,8,2600,2300
6490,Phantasm Token,Monster,Token,DARK,Fiend,1,1000,1000
6497,"Zure, Knight of Dark World",Monster,Normal,DARK,Fiend,4,1800,1500
6498,B.E.S. Tetran,Monster,Effect,WIND,Machine,6,1800,2300
6499,Nanobreaker,Monster,Effect,EARTH,Machine,4,1600,1800
6500,Rapid-Fire Magician,Monster,Effect,DARK,Spellcaster,4,1600,1200
6501,"Beiige, Vanguard of Dark World",Monster,Effect,DARK,Fiend,4,1600,1300
6502,"Broww, Huntsman of Dark World",Monster,Effect,DARK,Fiend,3,1400,800
6503,"Brron, Mad King of Dark World",Monster,Effect,DARK,Fiend,4,1800,400
6504,"Sillva, Warlord of Dark World",Monster,Effect,DARK,Fiend,5,2300,1400
6505,"Goldd, Wu-Lord of Dark World",Monster,Effect,DARK,Fiend,5,2300,1400
6506,"Scarr, Scout of Dark World",Monster,Effect,DARK,Fiend,2,500,500
6507,Familiar-Possessed - Aussa,Monster,Effect,EARTH,Spellcaster,4,1850,1500
6508,Familiar-Possessed - Eria,Monster,Effect,WATER,Spellcaster,4,1850,1500
6509,Familiar-Possessed - Hiita,Monster,Effect,FIRE,Spellcaster,4,1850,1500
6510,Familiar-Possessed - Wynn,Monster,Effect,WIND,Spellcaster,4,1850,1500
